transaction_year,transaction_month,transaction_day,total_withdrawal
2021,1,1,11
2021,1,2,8
2021,1,3,8
2021,1,4,5
2021,1,5,9
2021,1,6,9
2021,1,7,7
2021,1,8,5
2021,1,9,7
2021,1,10,10
2021,1,11,6
2021,1,12,8
2021,1,13,14
2021,1,14,3
2021,1,15,5
2021,1,16,7
2021,1,17,7
2021,1,18,7
2021,1,19,3
2021,1,20,10
2021,1,21,7
2021,1,22,8
2021,1,23,11
2021,1,24,6
2021,1,25,6
2021,1,26,4
2021,1,27,8
2021,1,28,5
2021,1,29,10
2021,1,30,3
2021,1,31,7
2021,2,1,9
2021,2,2,5
2021,2,3,3
2021,2,4,5
2021,2,5,4
2021,2,6,9
2021,2,7,7
2021,2,8,6
2021,2,9,7
2021,2,10,8
2021,2,11,10
2021,2,12,8
2021,2,13,9
2021,2,14,3
2021,2,15,7
2021,2,16,7
2021,2,17,5
2021,2,18,5
2021,2,19,14
2021,2,20,4
2021,2,21,11
2021,2,22,8
2021,2,23,6
2021,2,24,3
2021,2,25,8
2021,2,26,4
2021,2,27,7
2021,2,28,5
2021,3,1,9
2021,3,2,11
2021,3,3,6
2021,3,4,12
2021,3,5,6
2021,3,6,10
2021,3,7,9
2021,3,8,7
2021,3,9,5
2021,3,10,5
2021,3,11,3
2021,3,12,11
2021,3,13,8
2021,3,14,11
2021,3,15,7
2021,3,16,4
2021,3,17,7
2021,3,18,6
2021,3,19,6
2021,3,20,6
2021,3,21,6
2021,3,22,9
2021,3,23,4
2021,3,24,5
2021,3,25,5
2021,3,26,9
2021,3,27,6
2021,3,28,11
2021,3,29,7
2021,3,30,7
2021,3,31,7
2021,4,1,5
2021,4,2,5
2021,4,3,6
2021,4,4,10
2021,4,5,11
2021,4,6,7
2021,4,7,4
2021,4,8,8
2021,4,9,4
2021,4,10,6
2021,4,11,4
2021,4,12,7
2021,4,13,6
2021,4,14,3
2021,4,15,6
2021,4,16,11
2021,4,17,10
2021,4,18,6
2021,4,19,3
2021,4,20,4
2021,4,21,7
2021,4,22,9
2021,4,23,1
2021,4,24,5
2021,4,25,4
2021,4,26,6
2021,4,27,6
2021,4,28,6
2021,4,29,10
2021,4,30,9
2021,5,1,4
2021,5,2,8
2021,5,3,6
2021,5,4,6
2021,5,5,3
2021,5,6,5
2021,5,7,8
2021,5,8,8
2021,5,9,5
2021,5,10,8
2021,5,11,11
2021,5,12,7
2021,5,13,6
2021,5,14,7
2021,5,15,5
2021,5,16,8
2021,5,17,4
2021,5,18,3
2021,5,19,9
2021,5,20,9
2021,5,21,6
2021,5,22,5
2021,5,23,5
2021,5,24,10
2021,5,25,4
2021,5,26,9
2021,5,27,9
2021,5,28,6
2021,5,29,12
2021,5,30,5
2021,5,31,7
2021,6,1,2
2021,6,2,7
2021,6,3,13
2021,6,4,5
2021,6,5,8
2021,6,6,11
2021,6,7,4
2021,6,8,8
2021,6,9,10
2021,6,10,11
2021,6,11,8
2021,6,12,3
2021,6,13,10
2021,6,14,14
2021,6,15,8
2021,6,16,7
2021,6,17,10
2021,6,18,9
2021,6,19,5
2021,6,20,4
2021,6,21,15
2021,6,22,14
2021,6,23,8
2021,6,24,7
2021,6,25,5
2021,6,26,10
2021,6,27,2
2021,6,28,6
2021,6,29,9
2021,6,30,5
2021,7,1,10
2021,7,2,7
2021,7,3,5
2021,7,4,7
2021,7,5,7
2021,7,6,3
2021,7,7,4
2021,7,8,8
2021,7,9,6
2021,7,10,7
2021,7,11,3
2021,7,12,10
2021,7,13,5
2021,7,14,10
2021,7,15,9
2021,7,16,6
2021,7,17,8
2021,7,18,9
2021,7,19,11
2021,7,20,7
2021,7,21,8
2021,7,22,11
2021,7,23,2
2021,7,24,6
2021,7,25,2
2021,7,26,4
2021,7,27,4
2021,7,28,8
2021,7,29,15
2021,7,30,2
2021,7,31,9
2021,8,1,10
2021,8,2,7
2021,8,3,8
2021,8,4,8
2021,8,5,7
2021,8,6,7
2021,8,7,8
2021,8,8,5
2021,8,9,5
2021,8,10,6
2021,8,11,10
2021,8,12,8
2021,8,13,3
2021,8,14,12
2021,8,15,3
2021,8,16,8
2021,8,17,4
2021,8,18,6
2021,8,19,10
2021,8,20,9
2021,8,21,9
2021,8,22,6
2021,8,23,2
2021,8,24,5
2021,8,25,6
2021,8,26,5
2021,8,27,9
2021,8,28,5
2021,8,29,2
2021,8,30,6
2021,8,31,5
2021,9,1,9
2021,9,2,4
2021,9,3,9
2021,9,4,9
2021,9,5,7
2021,9,6,3
2021,9,7,4
2021,9,8,8
2021,9,9,6
2021,9,10,7
2021,9,11,4
2021,9,12,2
2021,9,13,5
2021,9,14,5
2021,9,15,4
2021,9,16,7
2021,9,17,6
2021,9,18,3
2021,9,19,10
2021,9,20,10
2021,9,21,6
2021,9,22,7
2021,9,23,4
2021,9,24,4
2021,9,25,5
2021,9,26,9
2021,9,27,3
2021,9,28,9
2021,9,29,8
2021,9,30,11
2021,10,1,15
2021,10,2,9
2021,10,3,8
2021,10,4,10
2021,10,5,10
2021,10,6,10
2021,10,7,5
2021,10,8,4
2021,10,9,9
2021,10,10,10
2021,10,11,3
2021,10,12,9
2021,10,13,9
2021,10,14,9
2021,10,15,7
2021,10,16,5
2021,10,17,5
2021,10,18,7
2021,10,19,10
2021,10,20,3
2021,10,21,6
2021,10,22,9
2021,10,23,7
2021,10,24,2
2021,10,25,12
2021,10,26,2
2021,10,27,2
2021,10,28,7
2021,10,29,12
2021,10,30,8
2021,10,31,7
2021,11,1,9
2021,11,2,5
2021,11,3,9
2021,11,4,8
2021,11,5,4
2021,11,6,4
2021,11,7,3
2021,11,8,6
2021,11,9,3
2021,11,10,9
2021,11,11,2
2021,11,12,14
2021,11,13,2
2021,11,14,7
2021,11,15,8
2021,11,16,6
2021,11,17,4
2021,11,18,10
2021,11,19,7
2021,11,20,5
2021,11,21,5
2021,11,22,5
2021,11,23,9
2021,11,24,10
2021,11,25,10
2021,11,26,10
2021,11,27,4
2021,11,28,5
2021,11,29,5
2021,11,30,6
2021,12,1,8
2021,12,2,11
2021,12,3,6
2021,12,4,3
2021,12,5,7
2021,12,6,4
2021,12,7,4
2021,12,8,7
2021,12,9,13
2021,12,10,6
2021,12,11,8
2021,12,12,5
2021,12,13,5
2021,12,14,4
2021,12,15,7
2021,12,16,4
2021,12,17,2
2021,12,18,8
2021,12,19,9
2021,12,20,10
2021,12,21,6
2021,12,22,10
2021,12,23,7
2021,12,24,10
2021,12,25,6
2021,12,26,6
2021,12,27,6
2021,12,28,3
2021,12,29,9
2021,12,30,5
2022,1,1,41
2022,1,2,48
2022,1,3,34
2022,1,4,33
2022,1,5,30
2022,1,6,24
2022,1,7,43
2022,1,8,41
2022,1,9,35
2022,1,10,36
2022,1,11,33
2022,1,12,38
2022,1,13,35
2022,1,14,39
2022,1,15,52
2022,1,16,37
2022,1,17,39
2022,1,18,34
2022,1,19,46
2022,1,20,35
2022,1,21,39
2022,1,22,32
2022,1,23,45
2022,1,24,40
2022,1,25,34
2022,1,26,37
2022,1,27,34
2022,1,28,39
2022,1,29,36
2022,1,30,29
2022,1,31,38
2022,2,1,42
2022,2,2,38
2022,2,3,44
2022,2,4,46
2022,2,5,43
2022,2,6,34
2022,2,7,36
2022,2,8,40
2022,2,9,30
2022,2,10,43
2022,2,11,29
2022,2,12,34
2022,2,13,37
2022,2,14,46
2022,2,15,39
2022,2,16,44
2022,2,17,38
2022,2,18,33
2022,2,19,33
2022,2,20,39
2022,2,21,37
2022,2,22,53
2022,2,23,33
2022,2,24,36
2022,2,25,45
2022,2,26,28
2022,2,27,32
2022,2,28,31
2022,3,1,24
2022,3,2,40
2022,3,3,27
2022,3,4,43
2022,3,5,28
2022,3,6,29
2022,3,7,39
2022,3,8,41
2022,3,9,37
2022,3,10,31
2022,3,11,33
2022,3,12,45
2022,3,13,33
2022,3,14,34
2022,3,15,39
2022,3,16,41
2022,3,17,32
2022,3,18,32
2022,3,19,37
2022,3,20,39
2022,3,21,36
2022,3,22,39
2022,3,23,37
2022,3,24,31
2022,3,25,38
2022,3,26,32
2022,3,27,37
2022,3,28,36
2022,3,29,36
2022,3,30,41
2022,3,31,40
2022,4,1,31
2022,4,2,35
2022,4,3,40
2022,4,4,49
2022,4,5,37
2022,4,6,27
2022,4,7,38
2022,4,8,26
2022,4,9,36
2022,4,10,36
2022,4,11,35
2022,4,12,34
2022,4,13,33
2022,4,14,42
2022,4,15,35
2022,4,16,34
2022,4,17,37
2022,4,18,37
2022,4,19,37
2022,4,20,31
2022,4,21,28
2022,4,22,35
2022,4,23,38
2022,4,24,35
2022,4,25,33
2022,4,26,38
2022,4,27,35
2022,4,28,34
2022,4,29,36
2022,4,30,32
2022,5,1,44
2022,5,2,35
2022,5,3,44
2022,5,4,40
2022,5,5,30
2022,5,6,29
2022,5,7,32
2022,5,8,35
2022,5,9,36
2022,5,10,38
2022,5,11,43
2022,5,12,31
2022,5,13,40
2022,5,14,35
2022,5,15,46
2022,5,16,42
2022,5,17,52
2022,5,18,34
2022,5,19,40
2022,5,20,38
2022,5,21,30
2022,5,22,43
2022,5,23,51
2022,5,24,25
2022,5,25,48
2022,5,26,41
2022,5,27,46
2022,5,28,38
2022,5,29,43
2022,5,30,35
2022,5,31,37
2022,6,1,26
2022,6,2,37
2022,6,3,39
2022,6,4,47
2022,6,5,35
2022,6,6,40
2022,6,7,34
2022,6,8,38
2022,6,9,37
2022,6,10,22
2022,6,11,41
2022,6,12,25
2022,6,13,44
2022,6,14,35
2022,6,15,40
2022,6,16,39
2022,6,17,46
2022,6,18,41
2022,6,19,38
2022,6,20,47
2022,6,21,30
2022,6,22,39
2022,6,23,42
2022,6,24,33
2022,6,25,39
2022,6,26,36
2022,6,27,35
2022,6,28,37
2022,6,29,43
2022,6,30,41
2022,7,1,37
2022,7,2,44
2022,7,3,32
2022,7,4,33
2022,7,5,31
2022,7,6,32
2022,7,7,35
2022,7,8,29
2022,7,9,28
2022,7,10,46
2022,7,11,36
2022,7,12,48
2022,7,13,36
2022,7,14,41
2022,7,15,29
2022,7,16,38
2022,7,17,38
2022,7,18,41
2022,7,19,42
2022,7,20,31
2022,7,21,39
2022,7,22,44
2022,7,23,36
2022,7,24,38
2022,7,25,23
2022,7,26,34
2022,7,27,45
2022,7,28,37
2022,7,29,39
2022,7,30,48
2022,7,31,33
2022,8,1,34
2022,8,2,42
2022,8,3,37
2022,8,4,49
2022,8,5,45
2022,8,6,43
2022,8,7,36
2022,8,8,27
2022,8,9,30
2022,8,10,29
2022,8,11,33
2022,8,12,46
2022,8,13,34
2022,8,14,33
2022,8,15,34
2022,8,16,30
2022,8,17,26
2022,8,18,48
2022,8,19,40
2022,8,20,28
2022,8,21,37
2022,8,22,35
2022,8,23,31
2022,8,24,36
2022,8,25,38
2022,8,26,33
2022,8,27,35
2022,8,28,36
2022,8,29,34
2022,8,30,37
2022,8,31,35
2022,9,1,38
2022,9,2,36
2022,9,3,40
2022,9,4,43
2022,9,5,39
2022,9,6,40
2022,9,7,36
2022,9,8,36
2022,9,9,40
2022,9,10,36
2022,9,11,37
2022,9,12,45
2022,9,13,39
2022,9,14,40
2022,9,15,44
2022,9,16,37
2022,9,17,38
2022,9,18,25
2022,9,19,38
2022,9,20,40
2022,9,21,29
2022,9,22,46
2022,9,23,37
2022,9,24,49
2022,9,25,48
2022,9,26,40
2022,9,27,35
2022,9,28,41
2022,9,29,36
2022,9,30,27
2022,10,1,37
2022,10,2,23
2022,10,3,34
2022,10,4,37
2022,10,5,33
2022,10,6,37
2022,10,7,40
2022,10,8,37
2022,10,9,32
2022,10,10,29
2022,10,11,38
2022,10,12,31
2022,10,13,35
2022,10,14,38
2022,10,15,36
2022,10,16,36
2022,10,17,32
2022,10,18,48
2022,10,19,32
2022,10,20,34
2022,10,21,41
2022,10,22,26
2022,10,23,33
2022,10,24,38
2022,10,25,32
2022,10,26,38
2022,10,27,42
2022,10,28,41
2022,10,29,44
2022,10,30,36
2022,10,31,28
2022,11,1,34
2022,11,2,29
2022,11,3,46
2022,11,4,33
2022,11,5,37
2022,11,6,47
2022,11,7,33
2022,11,8,36
2022,11,9,37
2022,11,10,42
2022,11,11,30
2022,11,12,41
2022,11,13,40
2022,11,14,35
2022,11,15,31
2022,11,16,29
2022,11,17,36
2022,11,18,37
2022,11,19,38
2022,11,20,69
2022,11,21,34
2022,11,22,36
2022,11,23,60
2022,11,24,41
2022,11,25,31
2022,11,26,20
2022,11,27,33
2022,11,28,40
2022,11,29,33
2022,11,30,32
2022,12,1,31
2022,12,2,43
2022,12,3,43
2022,12,4,36
2022,12,5,40
2022,12,6,39
2022,12,7,29
2022,12,8,35
2022,12,9,31
2022,12,10,35
2022,12,11,37
2022,12,12,27
2022,12,13,38
2022,12,14,37
2022,12,15,44
2022,12,16,32
2022,12,17,30
2022,12,18,31
2022,12,19,38
2022,12,20,34
2022,12,21,44
2022,12,22,45
2022,12,23,36
2022,12,24,44
2022,12,25,40
2022,12,26,26
2022,12,27,29
2022,12,28,26
2022,12,29,26
2022,12,30,40
2023,1,1,268
2023,1,2,272
2023,1,3,295
2023,1,4,252
2023,1,5,244
2023,1,6,300
2023,1,7,276
2023,1,8,284
2023,1,9,294
2023,1,10,292
2023,1,11,306
2023,1,12,285
2023,1,13,253
2023,1,14,288
2023,1,15,299
2023,1,16,308
2023,1,17,293
2023,1,18,285
2023,1,19,304
2023,1,20,278
2023,1,21,288
2023,1,22,270
2023,1,23,281
2023,1,24,271
2023,1,25,276
2023,1,26,295
2023,1,27,295
2023,1,28,288
2023,1,29,295
2023,1,30,285
2023,1,31,320
2023,2,1,300
2023,2,2,282
2023,2,3,283
2023,2,4,276
2023,2,5,293
2023,2,6,294
2023,2,7,288
2023,2,8,267
2023,2,9,284
2023,2,10,271
2023,2,11,276
2023,2,12,290
2023,2,13,297
2023,2,14,294
2023,2,15,276
2023,2,16,290
2023,2,17,300
2023,2,18,281
2023,2,19,259
2023,2,20,285
2023,2,21,266
2023,2,22,263
2023,2,23,272
2023,2,24,299
2023,2,25,263
2023,2,26,288
2023,2,27,273
2023,2,28,271
2023,3,1,282
2023,3,2,273
2023,3,3,279
2023,3,4,288
2023,3,5,253
2023,3,6,289
2023,3,7,282
2023,3,8,271
2023,3,9,295
2023,3,10,288
2023,3,11,283
2023,3,12,276
2023,3,13,275
2023,3,14,259
2023,3,15,280
2023,3,16,300
2023,3,17,273
2023,3,18,280
2023,3,19,278
2023,3,20,280
2023,3,21,299
2023,3,22,299
2023,3,23,275
2023,3,24,266
2023,3,25,295
2023,3,26,283
2023,3,27,255
2023,3,28,271
2023,3,29,292
2023,3,30,286
2023,3,31,268
2023,4,1,300
2023,4,2,280
2023,4,3,279
2023,4,4,273
2023,4,5,295
2023,4,6,284
2023,4,7,266
2023,4,8,254
2023,4,9,263
2023,4,10,277
2023,4,11,292
2023,4,12,310
2023,4,13,258
2023,4,14,269
2023,4,15,307
2023,4,16,301
2023,4,17,304
2023,4,18,307
2023,4,19,242
2023,4,20,280
2023,4,21,273
2023,4,22,275
2023,4,23,281
2023,4,24,263
2023,4,25,262
2023,4,26,295
2023,4,27,271
2023,4,28,290
2023,4,29,260
2023,4,30,244
2023,5,1,294
2023,5,2,287
2023,5,3,272
2023,5,4,302
2023,5,5,283
2023,5,6,262
2023,5,7,264
2023,5,8,279
2023,5,9,292
2023,5,10,284
2023,5,11,268
2023,5,12,310
2023,5,13,276
2023,5,14,285
2023,5,15,279
2023,5,16,243
2023,5,17,283
2023,5,18,295
2023,5,19,305
2023,5,20,301
2023,5,21,276
2023,5,22,296
2023,5,23,286
2023,5,24,271
2023,5,25,272
2023,5,26,285
2023,5,27,261
2023,5,28,306
2023,5,29,307
2023,5,30,248
2023,5,31,293
2023,6,1,274
2023,6,2,259
2023,6,3,281
2023,6,4,282
2023,6,5,292
2023,6,6,230
2023,6,7,270
2023,6,8,284
2023,6,9,277
2023,6,10,289
2023,6,11,277
2023,6,12,261
2023,6,13,290
2023,6,14,266
2023,6,15,266
2023,6,16,286
2023,6,17,306
2023,6,18,288
2023,6,19,263
2023,6,20,296
2023,6,21,262
2023,6,22,281
2023,6,23,290
2023,6,24,270
2023,6,25,268
2023,6,26,298
2023,6,27,269
2023,6,28,303
2023,6,29,306
2023,6,30,269
2023,7,1,249
2023,7,2,303
2023,7,3,276
2023,7,4,279
2023,7,5,285
2023,7,6,284
2023,7,7,283
2023,7,8,304
2023,7,9,271
2023,7,10,285
2023,7,11,259
2023,7,12,267
2023,7,13,291
2023,7,14,300
2023,7,15,270
2023,7,16,282
2023,7,17,278
2023,7,18,304
2023,7,19,295
2023,7,20,286
2023,7,21,280
2023,7,22,262
2023,7,23,279
2023,7,24,298
2023,7,25,282
2023,7,26,304
2023,7,27,267
2023,7,28,290
2023,7,29,270
2023,7,30,260
2023,7,31,314
2023,8,1,271
2023,8,2,279
2023,8,3,284
2023,8,4,278
2023,8,5,277
2023,8,6,296
2023,8,7,294
2023,8,8,286
2023,8,9,287
2023,8,10,271
2023,8,11,254
2023,8,12,254
2023,8,13,266
2023,8,14,264
2023,8,15,274
2023,8,16,263
2023,8,17,255
2023,8,18,271
2023,8,19,294
2023,8,20,285
2023,8,21,311
2023,8,22,302
2023,8,23,299
2023,8,24,255
2023,8,25,284
2023,8,26,270
2023,8,27,261
2023,8,28,320
2023,8,29,302
2023,8,30,276
2023,8,31,257
2023,9,1,268
2023,9,2,286
2023,9,3,273
2023,9,4,278
2023,9,5,270
2023,9,6,317
2023,9,7,293
2023,9,8,271
2023,9,9,293
2023,9,10,271
2023,9,11,268
2023,9,12,277
2023,9,13,261
2023,9,14,276
2023,9,15,275
2023,9,16,277
2023,9,17,275
2023,9,18,283
2023,9,19,287
2023,9,20,254
2023,9,21,294
2023,9,22,300
2023,9,23,292
2023,9,24,301
2023,9,25,250
2023,9,26,280
2023,9,27,269
2023,9,28,297
2023,9,29,245
2023,9,30,261
2023,10,1,272
2023,10,2,273
2023,10,3,266
2023,10,4,299
2023,10,5,250
2023,10,6,257
2023,10,7,291
2023,10,8,277
2023,10,9,306
2023,10,10,307
2023,10,11,287
2023,10,12,310
2023,10,13,264
2023,10,14,288
2023,10,15,266
2023,10,16,276
2023,10,17,297
2023,10,18,289
2023,10,19,295
2023,10,20,294
2023,10,21,280
2023,10,22,259
2023,10,23,271
2023,10,24,300
2023,10,25,265
2023,10,26,292
2023,10,27,268
2023,10,28,283
2023,10,29,303
2023,10,30,290
2023,10,31,250
2023,11,1,292
2023,11,2,263
2023,11,3,284
2023,11,4,286
2023,11,5,314
2023,11,6,279
2023,11,7,284
2023,11,8,255
2023,11,9,251
2023,11,10,277
2023,11,11,269
2023,11,12,290
2023,11,13,284
2023,11,14,258
2023,11,15,276
2023,11,16,254
2023,11,17,252
2023,11,18,268
2023,11,19,318
2023,11,20,271
2023,11,21,281
2023,11,22,263
2023,11,23,255
2023,11,24,284
2023,11,25,260
2023,11,26,271
2023,11,27,236
2023,11,28,266
2023,11,29,296
2023,11,30,315
2023,12,1,299
2023,12,2,282
2023,12,3,288
2023,12,4,281
2023,12,5,286
2023,12,6,287
2023,12,7,304
2023,12,8,287
2023,12,9,286
2023,12,10,243
2023,12,11,262
2023,12,12,277
2023,12,13,277
2023,12,14,308
2023,12,15,281
2023,12,16,289
2023,12,17,271
2023,12,18,256
2023,12,19,286
2023,12,20,293
2023,12,21,272
2023,12,22,283
2023,12,23,250
2023,12,24,268
2023,12,25,289
2023,12,26,274
2023,12,27,286
2023,12,28,273
2023,12,29,290
2023,12,30,289
2024,1,1,696
2024,1,2,739
2024,1,3,700
2024,1,4,737
2024,1,5,763
2024,1,6,690
2024,1,7,710
2024,1,8,720
2024,1,9,744
2024,1,10,694
2024,1,11,693
2024,1,12,707
2024,1,13,717
2024,1,14,708
2024,1,15,716
2024,1,16,691
2024,1,17,661
2024,1,18,736
2024,1,19,722
2024,1,20,714
2024,1,21,690
2024,1,22,667
2024,1,23,715
2024,1,24,706
2024,1,25,681
2024,1,26,729
2024,1,27,670
2024,1,28,769
2024,1,29,722
2024,1,30,713
2024,1,31,718
2024,2,1,754
2024,2,2,657
2024,2,3,757
2024,2,4,737
2024,2,5,686
2024,2,6,691
2024,2,7,703
2024,2,8,671
2024,2,9,716
2024,2,10,757
2024,2,11,730
2024,2,12,720
2024,2,13,691
2024,2,14,740
2024,2,15,693
2024,2,16,691
2024,2,17,726
2024,2,18,704
2024,2,19,714
2024,2,20,724
2024,2,21,706
2024,2,22,752
2024,2,23,751
2024,2,24,747
2024,2,25,696
2024,2,26,676
2024,2,27,697
2024,2,28,691
2024,2,29,704
2024,3,1,720
2024,3,2,707
2024,3,3,768
2024,3,4,737
2024,3,5,764
2024,3,6,688
2024,3,7,702
2024,3,8,690
2024,3,9,713
2024,3,10,735
2024,3,11,717
2024,3,12,707
2024,3,13,711
2024,3,14,714
2024,3,15,698
2024,3,16,731
2024,3,17,693
2024,3,18,724
2024,3,19,701
2024,3,20,724
2024,3,21,708
2024,3,22,741
2024,3,23,695
2024,3,24,683
2024,3,25,710
2024,3,26,696
2024,3,27,681
2024,3,28,724
2024,3,29,669
2024,3,30,701
2024,3,31,694
2024,4,1,732
2024,4,2,772
2024,4,3,677
2024,4,4,700
2024,4,5,707
2024,4,6,755
2024,4,7,704
2024,4,8,789
2024,4,9,718
2024,4,10,702
2024,4,11,736
2024,4,12,686
2024,4,13,718
2024,4,14,730
2024,4,15,687
2024,4,16,691
2024,4,17,706
2024,4,18,705
2024,4,19,781
2024,4,20,729
2024,4,21,736
2024,4,22,706
2024,4,23,728
2024,4,24,690
2024,4,25,711
2024,4,26,733
2024,4,27,717
2024,4,28,713
2024,4,29,690
2024,4,30,662
2024,5,1,701
2024,5,2,704
2024,5,3,729
2024,5,4,710
2024,5,5,732
2024,5,6,695
2024,5,7,782
2024,5,8,682
2024,5,9,707
2024,5,10,741
2024,5,11,671
2024,5,12,693
2024,5,13,659
2024,5,14,721
2024,5,15,742
2024,5,16,661
2024,5,17,705
2024,5,18,687
2024,5,19,667
2024,5,20,704
2024,5,21,751
2024,5,22,732
2024,5,23,718
2024,5,24,729
2024,5,25,718
2024,5,26,774
2024,5,27,694
2024,5,28,717
2024,5,29,724
2024,5,30,736
2024,5,31,722
2024,6,1,728
2024,6,2,677
2024,6,3,661
2024,6,4,691
2024,6,5,770
2024,6,6,707
2024,6,7,673
2024,6,8,693
2024,6,9,753
2024,6,10,724
2024,6,11,693
2024,6,12,737
2024,6,13,792
2024,6,14,702
2024,6,15,712
2024,6,16,739
2024,6,17,687
2024,6,18,699
2024,6,19,739
2024,6,20,737
2024,6,21,692
2024,6,22,670
2024,6,23,715
2024,6,24,704
2024,6,25,716
2024,6,26,680
2024,6,27,736
2024,6,28,719
2024,6,29,701
2024,6,30,756
2024,7,1,709
2024,7,2,738
2024,7,3,705
2024,7,4,709
2024,7,5,700
2024,7,6,729
2024,7,7,730
2024,7,8,706
2024,7,9,739
2024,7,10,731
2024,7,11,713
2024,7,12,740
2024,7,13,715
2024,7,14,696
2024,7,15,737
2024,7,16,686
2024,7,17,697
2024,7,18,669
2024,7,19,703
2024,7,20,700
2024,7,21,797
2024,7,22,739
2024,7,23,715
2024,7,24,709
2024,7,25,735
2024,7,26,691
2024,7,27,689
2024,7,28,728
2024,7,29,747
2024,7,30,682
2024,7,31,694
2024,8,1,633
2024,8,2,687
2024,8,3,665
2024,8,4,705
2024,8,5,738
2024,8,6,710
2024,8,7,755
2024,8,8,756
2024,8,9,782
2024,8,10,740
2024,8,11,696
2024,8,12,723
2024,8,13,672
2024,8,14,697
2024,8,15,710
2024,8,16,638
2024,8,17,717
2024,8,18,667
2024,8,19,709
2024,8,20,719
2024,8,21,703
2024,8,22,706
2024,8,23,643
2024,8,24,705
2024,8,25,742
2024,8,26,729
2024,8,27,700
2024,8,28,716
2024,8,29,753
2024,8,30,677
2024,8,31,708
2024,9,1,748
2024,9,2,711
2024,9,3,704
2024,9,4,753
2024,9,5,676
2024,9,6,695
2024,9,7,738
2024,9,8,706
2024,9,9,721
2024,9,10,751
2024,9,11,711
2024,9,12,786
2024,9,13,678
2024,9,14,734
2024,9,15,753
2024,9,16,707
2024,9,17,687
2024,9,18,710
2024,9,19,715
2024,9,20,772
2024,9,21,728
2024,9,22,721
2024,9,23,716
2024,9,24,691
2024,9,25,706
2024,9,26,730
2024,9,27,744
2024,9,28,705
2024,9,29,698
2024,9,30,726
2024,10,1,783
2024,10,2,701
2024,10,3,735
2024,10,4,723
2024,10,5,759
2024,10,6,729
2024,10,7,682
2024,10,8,694
2024,10,9,728
2024,10,10,694
2024,10,11,707
2024,10,12,695
2024,10,13,689
2024,10,14,739
2024,10,15,710
2024,10,16,702
2024,10,17,729
2024,10,18,734
2024,10,19,708
2024,10,20,697
2024,10,21,711
2024,10,22,667
2024,10,23,690
2024,10,24,735
2024,10,25,737
2024,10,26,765
2024,10,27,722
2024,10,28,724
2024,10,29,707
2024,10,30,738
2024,10,31,667
2024,11,1,730
2024,11,2,747
2024,11,3,722
2024,11,4,719
2024,11,5,707
2024,11,6,683
2024,11,7,678
2024,11,8,681
2024,11,9,692
2024,11,10,670
2024,11,11,721
2024,11,12,664
2024,11,13,734
2024,11,14,705
2024,11,15,740
2024,11,16,722
2024,11,17,701
2024,11,18,712
2024,11,19,697
2024,11,20,710
2024,11,21,718
2024,11,22,720
2024,11,23,725
2024,11,24,696
2024,11,25,702
2024,11,26,707
2024,11,27,741
2024,11,28,708
2024,11,29,757
2024,11,30,675
2024,12,1,686
2024,12,2,675
2024,12,3,647
2024,12,4,693
2024,12,5,708
2024,12,6,712
2024,12,7,700
2024,12,8,685
2024,12,9,692
2024,12,10,700
2024,12,11,743
2024,12,12,716
2024,12,13,706
2024,12,14,730
2024,12,15,709
2024,12,16,715
2024,12,17,689
2024,12,18,742
2024,12,19,700
2024,12,20,683
2024,12,21,739
2024,12,22,659
2024,12,23,705
2024,12,24,690
2024,12,25,690
2024,12,26,726
2024,12,27,697
2024,12,28,694
2024,12,29,710
2024,12,30,686
